Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Weather Type
2,80,12.5,93,987.85,1,1.5,Snowy
-9,77,3,97,990.49,0,3,Snowy
23,63,2,16,1015.73,4,8.5,Cloudy
13,60,5.5,31,1019.03,2,5.5,Cloudy
19,59,1,25,1011.4,3,5,Cloudy
17,89,17.5,89,1001.82,1,4.5,Rainy
41,20,1.5,13,1028.27,5,9,Sunny
6,76,2.5,64,1000.66,6,0,Snowy
33,36,4.5,2,1026.57,7,8.5,Sunny
11,57,5,19,1019.91,1,7.5,Cloudy
4,81,9,72,995.05,0,2.5,Snowy
30,73,13.5,67,1000.4,0,3,Rainy
27,64,2,42,1005.59,4,8,Cloudy
32,91,5.5,67,1004.63,3,2,Rainy
-2,60,11,61,986.79,0,3.5,Snowy
-18,70,11,12,1182.77,14,10.5,Cloudy
3,72,10,78,987.7,1,4.5,Snowy
-8,92,5.5,54,999.41,1,3,Snowy
4,75,10.5,69,926.46,12,1.5,Rainy
34,71,4,42,1001.55,4,7,Cloudy
38,44,5.5,7,1015.53,5,9.5,Sunny
22,57,5,2,1026.21,5,8,Sunny
20,20,8,7,1027.65,6,9.5,Sunny
-8,60,6,77,983.66,0,2.5,Snowy
47,72,11.5,108,1019.44,12,9.5,Sunny
-9,70,5,67,980.37,0,4.5,Snowy
39,42,3,19,1011.63,7,6,Sunny
21,86,9.5,58,997.76,1,3,Rainy
-3,99,5,87,987.24,1,3,Snowy
29,46,6,9,1014.94,5,6.5,Sunny
30,60,6.5,75,998.88,1,4,Rainy
39,29,0.5,16,1017.52,5,6,Sunny
30,64,7,51,1014.89,3,3.5,Rainy
-1,82,3,64,991.36,1,3.5,Snowy
26,82,18.5,90,994.41,2,3,Rainy
11,74,6,86,1009.58,3,2.5,Rainy
26,23,3,13,1014.87,5,7.5,Sunny
12,75,19.5,66,1019.53,1,4.5,Rainy
-12,24,3,50,1016.12,3,6.5,Sunny
32,60,9,52,992.85,3,4.5,Rainy
24,80,32,84,1013.59,1,3,Rainy
24,78,7,27,1004.99,4,6.5,Cloudy
36,33,8.5,2,1025.96,6,9,Sunny
-7,81,6,85,985.67,0,2,Snowy
21,58,7.5,16,1019.37,2,7.5,Cloudy
16,76,9,65,1006.24,3,2.5,Rainy
-19,26,7.5,20,879.11,10,13.5,Cloudy
18,71,9,91,995.69,1,1,Rainy
-8,63,0.5,73,994.16,1,3,Snowy
1,63,11.5,82,997.03,0,1.5,Snowy
19,91,10,62,1004.94,2,2,Rainy
35,40,7,5,1013.66,9,9.5,Sunny
-4,74,17,56,980.29,1,2.5,Snowy
20,98,18,78,1007.06,0,2,Rainy
34,24,10,1,1019.98,10,7,Sunny
40,26,9,19,1023.2,6,9,Sunny
33,80,14,77,1016.88,1,4.5,Rainy
-2,96,6,66,984.93,0,1.5,Snowy
0,84,17,96,989.75,0,1,Snowy
-2,106,24,73,981.5,13,1.5,Snowy
34,67,18,88,1018.97,1,3.5,Rainy
13,73,3,33,1013.57,2,5.5,Cloudy
2,100,27,82,984.28,12,3.5,Snowy
2,95,10.5,50,995.71,0,5,Snowy
0,76,14.5,95,996.54,1,2,Snowy
-9,70,6.5,93,988.14,1,2.5,Snowy
29,70,7.5,91,1019.22,2,3,Rainy
14,65,17.5,74,1004.29,2,2,Rainy
22,69,11.5,26,1000.43,4,6.5,Cloudy
21,90,15,83,995.43,1,1.5,Rainy
24,51,8,26,1018.31,2,6.5,Cloudy
15,91,6.5,92,993.62,0,2.5,Rainy
37,64,4,54,941.95,6,8.5,Sunny
30,58,1.5,41,1000.16,3,6.5,Cloudy
20,63,20,55,1017.9,3,1,Rainy
29,103,22.5,97,1012.64,8,1.5,Rainy
27,21,1.5,9,1028.6,7,6,Sunny
36,78,12.5,86,1017.41,7,2.5,Cloudy
42,95,16.5,105,1017.9,6,4,Sunny
-8,68,11,76,989.03,0,3.5,Snowy
33,26,6.5,5,1029.26,7,9.5,Sunny
3,64,15,54,990.39,0,1.5,Snowy
10,77,11.5,79,1002.35,3,2.5,Rainy
-10,65,7.5,78,999.97,0,4.5,Snowy
3,96,3,68,984.04,1,4,Snowy
-6,60,12,79,997.36,1,2,Snowy
12,24,10,12,1025.6,14,5,Snowy
-10,97,4,93,987.18,1,3.5,Snowy
34,77,4,46,1015.98,1,5,Cloudy
11,87,15.5,66,990.51,1,3,Rainy
-5,80,3,99,989.91,0,1.5,Snowy
28,65,6.5,44,1016.96,3,5,Cloudy
18,63,1,15,1001.89,1,9,Cloudy
21,35,1,19,1029.78,5,7,Sunny
14,90,18,73,991.27,3,2,Rainy
33,63,4,15,1022.72,7,6.5,Sunny
11,93,10,63,1007.74,3,5,Rainy
28,33,7,33,824.16,0,5,Sunny
20,67,0,48,1010.23,4,7,Cloudy
-6,70,9.5,62,986.98,1,2.5,Snowy
11,87,19.5,84,1000.8,2,3.5,Rainy
33,65,7.5,45,1019.07,1,9,Cloudy
22,62,14,91,1019.57,3,4,Rainy
27,50,4.5,15,1012.86,10,8.5,Sunny
-7,98,1,98,987.4,0,2.5,Snowy
12,69,4.5,29,1012.37,4,8.5,Cloudy
-11,69,13,31,1081.28,0,5,Sunny
35,49,3.5,13,1016.25,5,8,Sunny
-10,68,3,70,987.09,0,3.5,Snowy
-13,48,7.5,34,1196.03,6,15.5,Snowy
33,85,27.5,84,991.68,0,6,Rainy
25,92,31,90,1017.26,6,0.5,Rainy
25,51,3.5,6,1021.18,10,7.5,Sunny
44,64,9,15,1025.71,5,8.5,Sunny
31,63,17,53,1016.02,1,2,Rainy
26,84,17,96,1015.9,5,13.5,Sunny
20,67,4,27,1010.5,2,8,Cloudy
28,53,8,16,1016.17,6,9,Sunny
4,85,13,95,988.3,0,1.5,Snowy
28,104,21,109,1008.63,0,3,Rainy
21,61,2,33,1014.64,4,7,Cloudy
3,89,7,82,998.9,1,3,Snowy
-3,96,3,91,994.14,8,2.5,Snowy
28,63,5,2,1010.5,10,7.5,Sunny
39,69,4.5,11,1012.36,8,7.5,Sunny
-13,52,5.5,75,1066.35,14,7.5,Sunny
26,54,13,46,1011.35,1,6,Cloudy
29,51,11.5,14,1016.46,3,5,Cloudy
38,22,5,7,1016.55,8,9,Sunny
26,99,18,67,1015.24,2,3,Rainy
48,40,7,91,1184.13,3,5,Snowy
21,57,2.5,45,1007.93,1,5.5,Cloudy
74,101,18,76,1010.82,6,4,Sunny
40,21,5.5,7,1010.93,7,9,Sunny
35,42,6,11,1024.48,5,7.5,Sunny
3,97,3,66,991.12,1,3.5,Snowy
23,83,9.5,90,1010.97,3,3.5,Rainy
19,74,6.5,37,1018.34,2,7,Cloudy
32,71,14,24,1000.28,4,6,Cloudy
4,57,7,62,1045.58,9,13.5,Cloudy
-8,82,13,90,985.99,1,1,Snowy
16,82,27.5,81,995.65,3,2,Rainy
13,52,11.5,44,1003.47,3,8.5,Cloudy
18,73,11.5,12,1006.46,1,7.5,Cloudy
43,30,5.5,7,1028.14,5,5.5,Sunny
14,73,13,40,1016.96,1,8,Cloudy
10,53,6,43,1005.75,4,5.5,Cloudy
28,72,8,71,1003.7,1,2.5,Rainy
-7,72,6.5,94,999.86,0,3.5,Snowy
3,89,17,80,980.91,1,4.5,Snowy
10,63,15.5,98,1007.79,2,1.5,Rainy
23,75,13,48,1018.2,2,8.5,Cloudy
30,65,10,67,1001.1,2,3.5,Rainy
76,91,13.5,82,1015.18,1,7,Cloudy
-8,70,2.5,84,985.21,1,2.5,Snowy
9,82,16.5,107,1011.48,4,0.5,Cloudy
5,83,30.5,96,991.86,13,1.5,Snowy
14,81,18.5,79,1005.82,1,1.5,Rainy
10,76,15,53,1001.63,0,4.5,Rainy
15,63,10,83,1016.68,0,2.5,Rainy
33,96,24.5,97,1010.21,5,2,Cloudy
25,68,0,37,1008.06,2,7.5,Cloudy
24,63,14.5,47,1016.18,1,5.5,Cloudy
-5,76,11,86,984.05,1,2.5,Snowy
16,67,6.5,30,1011.71,4,6,Cloudy
26,97,20.5,81,1005.35,12,5.5,Rainy
22,62,9,26,1019.79,1,9,Cloudy
-10,87,1.5,76,982.49,1,1.5,Snowy
22,56,0.5,29,1019.41,1,7,Cloudy
28,46,8,11,1010.17,6,5.5,Sunny
0,71,1.5,67,995.64,1,3.5,Snowy
12,82,18,78,1018.01,1,4.5,Rainy
32,93,15,51,1010.4,0,3,Rainy
-10,96,13,97,998.31,1,1,Snowy
30,51,3,48,1012.49,3,6.5,Cloudy
-6,67,12,89,998.75,0,3,Snowy
31,69,16,50,1016.26,2,4.5,Rainy
36,61,2.5,14,1019.32,5,6,Sunny
-9,96,0,65,999.81,0,3.5,Snowy
23,57,12.5,21,1008.93,2,8,Cloudy
33,53,6,44,1011.26,2,5.5,Cloudy
55,96,3,84,1007.32,12,8.5,Cloudy
44,24,2.5,97,805.4,0,8,Cloudy
30,53,2,22,1004.61,2,8,Cloudy
29,71,7.5,22,1002.82,1,8,Cloudy
-3,96,5,53,982.79,1,3,Snowy
19,67,12.5,98,994.55,1,3,Rainy
23,70,9.5,38,1019.56,1,7,Cloudy
22,66,7,23,1005.65,2,8.5,Cloudy
24,51,6,60,820.41,1,3.5,Snowy
55,103,22.5,95,1007.41,5,8,Cloudy
37,40,2,13,1018.46,5,10,Sunny
34,68,10.5,62,1012.09,2,2,Rainy
23,67,9,21,1002.66,1,6.5,Cloudy
0,94,9.5,76,997.53,0,4,Snowy
-10,61,7.5,50,980.37,0,4,Snowy
-1,83,19,85,982.46,7,4,Snowy
21,101,11.5,77,1003.65,10,1,Rainy
12,98,19.5,61,1004.98,1,3.5,Rainy
30,60,12,14,1009.05,1,6,Cloudy
18,39,12,39,988.64,6,9,Snowy
24,83,20,101,995.39,3,0.5,Rainy
12,93,9.5,86,996.35,0,1.5,Rainy
27,75,21,70,1000.86,6,4.5,Cloudy
20,83,11,70,1003.02,1,4.5,Rainy
-4,86,14.5,84,993.7,1,2,Snowy
-20,42,10,42,1177.21,7,1,Rainy
38,48,3.5,5,1012.26,5,9.5,Sunny
27,107,30.5,70,1003.72,11,2,Rainy
25,64,11.5,58,1015.31,2,3.5,Rainy
25,67,7.5,62,1008.04,3,2,Rainy
20,61,1,4,1019.47,6,9,Sunny
10,70,12,30,1013.4,3,6,Cloudy
22,75,10,31,1000.79,4,7,Cloudy
4,81,9.5,80,984.34,1,1.5,Snowy
11,50,1.5,14,1015.95,3,6.5,Cloudy
14,65,16.5,96,1007.99,0,1,Rainy
33,97,18.5,82,1008.39,0,4,Rainy
-9,85,15,88,983.37,1,4.5,Snowy
18,75,15.5,67,1015.03,0,2,Rainy
2,91,10.5,93,996.91,1,4.5,Snowy
19,66,5,64,1012.05,0,1,Rainy
25,54,7,47,1011.13,3,7,Cloudy
31,36,1,95,945.27,12,2.5,Cloudy
59,95,10.5,74,1016.59,6,3.5,Rainy
34,68,13,62,997.87,1,2.5,Rainy
41,69,10,27,921.64,3,1.5,Rainy
-6,49,13.5,49,1161.34,11,13,Snowy
4,63,9.5,59,994.63,0,2.5,Snowy
0,82,17.5,92,986.86,0,5,Snowy
35,38,1,86,870.6,11,5.5,Sunny
37,25,9.5,6,1028.14,6,9,Sunny
18,70,9,92,1009.71,3,2,Rainy
23,21,0,16,1025.67,6,9,Sunny
38,74,11.5,35,940.77,12,11.5,Rainy
27,52,5.5,12,1026.19,11,9.5,Sunny
31,60,7,81,997.83,1,3.5,Rainy
20,55,6.5,42,1006.69,1,8.5,Cloudy
34,62,13.5,60,1013.58,2,3.5,Rainy
17,73,17.5,93,1003.31,1,3,Rainy
16,66,13.5,19,1009.24,2,5,Cloudy
13,85,9.5,71,1013.06,0,1.5,Rainy
29,75,11.5,14,1010.79,1,9,Cloudy
-10,95,4,62,984.07,0,1.5,Snowy
30,90,13,63,1019.57,1,3,Rainy
34,20,4.5,36,966.37,6,16,Rainy
19,95,2,74,1003.75,4,2,Cloudy
20,69,7,82,1010.36,1,2,Rainy
25,93,11.5,96,1003.56,3,2.5,Rainy
21,50,5,47,1010.87,3,9,Cloudy
2,93,1.5,109,980.1,2,5,Snowy
28,35,1.5,73,918.45,0,10.5,Sunny
31,68,13.5,82,1019.94,3,2,Rainy
18,67,15,73,1005.72,0,4.5,Rainy
-16,27,14.5,64,880.38,10,3.5,Cloudy
16,80,9,85,1016.83,6,8,Sunny
29,58,0,28,1007.84,3,6,Cloudy
-3,87,11.5,89,989.61,1,4,Snowy
-6,60,6.5,54,985.87,0,4,Snowy
39,36,0.5,13,1012.36,5,5.5,Sunny
31,97,19.5,50,1018.59,3,5,Rainy
9,70,7.5,12,822.27,2,18,Snowy
28,39,1.5,0,1010.35,8,6,Sunny
30,61,10.5,28,1009.71,3,8,Cloudy
-10,69,8,97,993,0,4.5,Snowy
15,87,5,68,1013.81,2,5,Rainy
3,81,9.5,93,982.62,0,1.5,Snowy
15,53,11.5,41,1012.1,3,7.5,Cloudy
33,80,9.5,53,994.51,2,3.5,Rainy
27,66,4,1,1022.64,9,7.5,Sunny
36,81,8,97,1014.11,10,9.5,Sunny
21,61,6,17,1019.35,3,6.5,Cloudy
17,94,12.5,79,1015.11,3,2,Rainy
31,91,29.5,104,995.61,8,4.5,Rainy
-3,65,9,55,994.87,0,4,Snowy
29,30,6,12,1012.61,10,8.5,Sunny
34,78,9,42,1005,1,8.5,Cloudy
24,41,3,11,1020.28,7,7,Sunny
20,32,5,2,1019.85,8,5,Sunny
35,55,9,9,1012.58,9,8,Sunny
-2,82,19.5,85,981.3,1,4,Snowy
17,72,2.5,40,1005.31,3,9,Cloudy
-5,68,8,56,995.63,1,2,Snowy
9,73,10,84,1000.06,14,8,Cloudy
15,65,5,10,1009.5,4,6.5,Cloudy
23,21,6.5,17,1054.24,7,7.5,Snowy
10,73,10.5,49,1010.36,1,5.5,Cloudy
-7,69,3,86,991.57,1,5,Snowy
41,56,4.5,6,1018.48,8,9,Sunny
-7,93,0.5,51,997.63,1,5,Snowy
-2,101,19.5,101,980.83,0,5,Snowy
57,103,11,71,1007.55,1,1,Rainy
24,94,19.5,58,1003.36,0,2.5,Rainy
16,52,4,29,1009.5,4,6,Cloudy
28,37,7,16,1021.88,6,5,Sunny
2,69,9.5,93,985.77,0,2,Snowy
28,67,3,18,1017.89,10,7.5,Sunny
37,76,10.5,86,1073.21,3,4.5,Cloudy
42,85,37,100,1007.39,11,2.5,Rainy
36,21,6.5,6,1021.77,8,5,Sunny
-1,56,5,70,1018.08,14,8,Snowy
-6,80,1.5,74,999.42,13,4.5,Snowy
40,99,13,101,1011.41,12,2,Cloudy
20,29,4.5,5,1010.43,6,6,Sunny
91,106,2.5,92,1022.18,6,5,Sunny
25,57,13.5,22,1005.37,1,5.5,Cloudy
47,106,5.5,104,1027.75,12,4,Sunny
17,65,7,64,1004.05,0,4,Rainy
-15,74,6.5,53,874.92,6,8,Cloudy
82,74,19.5,81,1022.21,10,9,Sunny
10,20,9,60,827.37,7,4.5,Rainy
42,62,8.5,13,1026.68,5,10,Sunny
16,67,9,16,1007.01,1,7.5,Cloudy
41,53,2.5,1,1015.42,9,7.5,Sunny
3,82,17,59,984.41,0,4,Snowy
30,60,11,15,1014.3,2,7,Cloudy
3,97,20,89,983.22,0,4,Snowy
49,34,3,64,1118.38,9,5,Sunny
37,36,8.5,0,1026.5,6,6.5,Sunny
26,24,3,17,1010.01,6,5.5,Sunny
24,63,8.5,67,990.04,3,4.5,Rainy
66,83,18,92,999.46,14,3,Rainy
19,70,10,21,1014.9,1,6.5,Cloudy
26,51,4.5,46,903.58,2,0.5,Sunny
25,23,0.5,1,1026.46,10,7,Sunny
0,102,19.5,85,988.97,12,5,Snowy
30,38,5,2,1018.18,5,9.5,Sunny
22,72,12,69,1018.8,1,2.5,Rainy
29,71,21,86,1013.77,12,6.5,Cloudy
32,104,27,107,1015.36,3,11.5,Cloudy
24,88,44.5,76,1005.61,1,1.5,Rainy
20,67,7,6,1025.47,5,5.5,Sunny
16,76,6,36,1007.38,2,9,Cloudy
-4,101,9.5,98,990.81,10,1.5,Snowy
21,41,14.5,56,902.72,4,16.5,Cloudy
32,49,2.5,9,1012.59,7,5,Sunny
11,80,7.5,86,1006.4,0,1.5,Rainy
-17,72,8.5,73,998.45,1,2,Snowy
4,95,12.5,91,993.44,7,4,Snowy
16,55,5.5,45,1007.32,1,7,Cloudy
-4,82,2,65,982.57,0,1.5,Snowy
15,22,2.5,92,977.7,12,5,Snowy
-16,100,18,97,993.16,11,2,Snowy
1,83,17.5,86,984.97,1,1,Snowy
29,67,1.5,5,1024.29,5,8,Sunny
23,70,12.5,106,997.59,0,2.5,Rainy
-1,62,3.5,82,993.44,1,3,Snowy
28,78,4.5,49,1003.87,2,7,Cloudy
4,60,17,76,991.03,1,5,Snowy
31,92,4,99,1010.9,14,4.5,Sunny
44,105,3,86,1015.64,9,7.5,Sunny
33,85,16,58,1004.52,2,2,Rainy
37,77,16,75,1018.29,3,5.5,Sunny
28,79,7,23,1018.36,4,8.5,Cloudy
-19,59,4,11,1022.41,1,19,Snowy
20,102,15,83,1015.89,10,6.5,Cloudy
61,104,7.5,85,1005.83,11,5,Cloudy
24,71,12,59,1004.05,2,1,Rainy
22,63,11.5,12,1014.55,1,7,Cloudy
33,68,2.5,13,1004.61,2,7.5,Cloudy
41,36,8.5,3,1029.51,8,6.5,Sunny
36,58,8,1,1015.16,9,8.5,Sunny
40,40,8,1,1013.26,11,5.5,Sunny
7,76,17.5,106,1019.09,2,5.5,Rainy
11,61,11.5,99,994.58,1,4,Rainy
2,75,9,103,994.71,5,0.5,Snowy
22,53,3,16,1023.32,6,7.5,Sunny
30,98,10,59,998.56,3,3,Rainy
25,32,8.5,82,961.73,12,15,Sunny
15,78,16,105,993.73,10,0.5,Rainy
10,76,11.5,71,1095.61,12,3,Snowy
13,67,9,51,1008.38,2,3.5,Rainy
43,30,4,97,995.64,11,19,Snowy
-5,66,5,68,994.28,0,1.5,Snowy
22,46,2,12,1019.55,6,9.5,Sunny
31,97,20,54,1003.01,1,4.5,Rainy
16,61,13,80,995.72,3,5,Rainy
19,82,2,106,1006.7,5,5.5,Cloudy
17,96,12,66,1008.91,0,3.5,Rainy
34,63,19,61,1001.99,3,3,Rainy
8,102,35.5,89,999.36,4,2,Snowy
-7,85,1,76,989.97,1,3,Snowy
4,98,15.5,67,987.42,1,1.5,Snowy
35,68,3.5,69,1121.27,8,18,Rainy
21,65,5,7,1017.57,9,7,Sunny
20,99,15,98,994.3,2,2.5,Rainy
25,62,6,8,1020.8,10,9.5,Sunny
22,65,6,6,1010.58,5,5.5,Sunny
-4,91,7.5,66,986.45,1,2,Snowy
19,69,11,86,1013.98,1,1.5,Rainy
23,61,10,72,999.82,3,4.5,Rainy
28,56,4.5,38,1005.76,4,8.5,Cloudy
15,99,20,76,999.95,4,1.5,Rainy
0,86,19.5,53,988.5,0,4,Snowy
36,57,4.5,11,1015.75,7,6,Sunny
29,65,18,91,1010.71,0,5,Rainy
-8,79,18.5,95,996.93,1,1.5,Snowy
-10,72,9.5,89,829.83,0,8,Rainy
26,61,13.5,73,995.23,2,2,Rainy
30,45,6,9,1012.48,7,8,Sunny
2,66,7.5,74,986.01,1,2,Snowy
30,48,7,18,1010.23,9,10,Sunny
24,83,15.5,89,1017.03,1,3.5,Rainy
-8,76,12.5,50,992.61,0,3,Snowy
33,99,16.5,89,1015.58,2,4.5,Rainy
31,61,6.5,14,1013.57,8,8.5,Sunny
31,57,0.5,23,1143.34,4,10.5,Cloudy
29,48,7,18,1019.97,5,10,Sunny
20,58,13.5,40,1008.25,3,7,Cloudy
34,84,12,84,995.23,3,4,Rainy
12,79,15,71,1012.93,2,1.5,Rainy
43,41,9.5,13,1022.24,9,6,Sunny
-6,99,8.5,99,992.5,10,1,Snowy
-7,87,7,80,994.48,0,3.5,Snowy
-8,80,15.5,84,985.8,1,3,Snowy
21,51,4.5,40,1010.97,1,9,Cloudy
31,77,19.5,93,1027.33,12,4.5,Sunny
1,88,1,85,986.06,0,2,Snowy
-2,69,10,64,983.29,0,4.5,Snowy
34,55,6.5,19,1018.38,5,7.5,Sunny
28,91,8.5,86,1029.24,6,5.5,Sunny
-10,89,9.5,93,982.68,0,3.5,Snowy
15,73,10.5,38,1019.92,3,5,Cloudy
31,59,10.5,33,1000.41,3,7.5,Cloudy
34,85,20,70,997.52,1,1.5,Rainy
12,53,9.5,19,1003.07,1,9,Cloudy
36,32,1.5,19,1013.5,11,9,Sunny
27,67,1.5,24,1015.25,1,6.5,Cloudy
-10,64,18,61,984.77,0,2,Snowy
39,38,8,74,1163.16,9,15,Cloudy
19,73,3,109,1008.56,8,4,Cloudy
26,49,9,10,1021.08,9,7,Sunny
22,86,12,65,999.86,1,3.5,Rainy
-5,81,18,88,988.33,1,2.5,Snowy
55,78,3,91,1029.67,2,3,Sunny
26,63,12.5,82,991.38,0,2,Rainy
22,67,4,45,1011.7,2,7,Cloudy
46,76,28.5,108,1000.36,4,2.5,Rainy
3,95,15.5,67,992.03,1,1,Snowy
32,61,13.5,10,1005.59,3,7,Cloudy
21,80,13.5,59,998.35,0,4.5,Rainy
48,91,32,85,1008.97,2,2.5,Rainy
42,61,13,69,1004.98,0,11,Snowy
3,77,12,59,991.63,0,4,Snowy
14,64,5,47,1017.75,3,6,Cloudy
14,56,10,44,1008.83,4,8,Cloudy
20,61,18,58,1018.79,1,4.5,Rainy
53,108,7.5,73,1023.18,13,6.5,Sunny
-2,60,2,91,985.21,0,5,Snowy
32,24,4.5,19,1012.66,5,8.5,Sunny
21,23,9,71,1112.88,11,2,Rainy
15,85,28,92,1003.57,9,0.5,Cloudy
19,67,4.5,21,1010.75,1,6,Cloudy
19,86,9,97,995.9,1,1.5,Rainy
34,76,4,49,1013.56,4,5,Cloudy
2,81,19.5,64,991.54,1,2,Snowy
13,75,2,48,1017.18,2,5.5,Cloudy
25,72,12,24,1017.17,2,7,Cloudy
32,67,8.5,19,1015.46,2,8,Cloudy
18,63,7,16,1009.44,1,6.5,Cloudy
2,89,11.5,94,993.3,1,3.5,Snowy
26,88,7.5,92,992.28,1,4,Rainy
0,46,8,45,1080.2,9,3.5,Sunny
11,62,9.5,20,1007.4,3,5.5,Cloudy
36,58,6.5,13,1011.95,9,8.5,Sunny
32,67,5.5,35,1016.79,3,5.5,Cloudy
17,79,17.5,90,994.97,2,2,Rainy
24,54,6,47,1008.42,3,8,Cloudy
33,46,2.5,11,1021.87,6,6,Sunny
14,82,5,85,1003.88,1,1.5,Rainy
33,78,12.5,55,1009.8,1,4.5,Rainy
-4,70,1.5,92,999.64,0,3.5,Snowy
30,82,12,68,1000.06,1,3.5,Rainy
11,70,12,45,1001.01,2,8,Cloudy
11,35,11.5,89,954.53,14,18.5,Sunny
16,70,14,57,1015.77,0,4.5,Rainy
1,75,11.5,95,982.4,0,2.5,Snowy
21,21,6.5,9,1016.22,11,8.5,Sunny
42,45,3.5,3,1017.33,8,7.5,Sunny
-7,82,18.5,55,992.44,0,1,Snowy
-5,34,14.5,91,1125.08,6,2.5,Snowy
2,66,6,61,985.05,1,1.5,Snowy
28,70,10,76,1011.27,1,2.5,Rainy
17,51,2,20,1011.82,1,6,Cloudy
33,74,5.5,93,993.4,1,4.5,Rainy
-1,64,7.5,70,994.69,1,4.5,Snowy
30,88,12,84,1006.2,1,2,Rainy
28,36,4,5,1021.31,11,6,Sunny
43,92,14,72,1027.92,10,4.5,Sunny
1,60,18.5,64,994.13,0,5,Snowy
-3,101,28,84,991.4,11,6,Snowy
31,53,7.5,5,1023.5,10,9.5,Sunny
23,54,6,27,1010.01,1,5.5,Cloudy
37,73,11,84,1005.06,1,6.5,Cloudy
33,71,9.5,29,1016.66,3,5.5,Cloudy
33,30,4.5,10,1025.84,5,5.5,Sunny
19,75,13.5,10,1008.41,1,7.5,Cloudy
28,72,6,65,1013.91,3,3,Rainy
23,78,17.5,54,990.24,2,4,Rainy
31,94,16.5,65,1006.65,3,5,Rainy
40,27,4,6,1015.34,7,8.5,Sunny
18,62,12,87,1016.92,2,5,Rainy
32,69,6,13,1017.58,5,6.5,Sunny
22,91,5,68,990.91,1,1.5,Rainy
35,25,7.5,14,1022.54,5,5,Sunny
30,57,2.5,41,1017.86,2,6,Cloudy
12,64,1.5,38,1018.65,3,5.5,Cloudy
1,77,18.5,55,991.04,1,5,Snowy
0,79,14.5,98,980.72,1,2,Snowy
13,72,1.5,46,1000.55,4,8,Cloudy
-5,66,5.5,72,993.83,0,3,Snowy
24,70,12,16,1008,2,8,Cloudy
23,49,5.5,9,1011.81,9,8,Sunny
33,58,6.5,1,1026.56,8,5.5,Sunny
22,96,27.5,95,1004.06,9,2.5,Cloudy
24,27,9,12,1028.62,9,5,Sunny
11,68,8,73,995.42,3,2.5,Rainy
-10,99,5.5,94,994.11,0,3.5,Snowy
30,81,11,97,1018.76,1,3,Rainy
31,68,12.5,46,1003.94,2,8.5,Cloudy
0,86,0.5,79,984,0,2.5,Snowy
20,72,8,43,1016.74,3,8.5,Cloudy
16,82,5.5,82,1012.96,1,1.5,Rainy
22,74,16,82,994.28,2,4.5,Rainy
31,99,9.5,93,1018.47,3,3.5,Rainy
29,63,8.5,9,1018.05,9,7,Sunny
48,47,1.5,97,932.54,4,17,Sunny
36,60,7,9,1012.51,8,5.5,Sunny
39,68,5.5,2,1013.68,11,9.5,Sunny
23,79,9,14,1005.9,1,8,Cloudy
25,26,13,93,955.32,8,6.5,Sunny
4,88,7,85,988.15,1,1.5,Snowy
41,53,3.5,15,1027.23,6,9.5,Sunny
14,50,13.5,43,1011.2,4,8.5,Cloudy
22,49,0,10,1023.31,10,6.5,Sunny
1,83,6,54,982.91,0,4,Snowy
1,95,4,97,987.61,0,3,Snowy
32,61,10,96,1174.4,13,15,Cloudy
16,74,14,27,1009.27,3,8.5,Cloudy
47,105,19,76,1021.14,0,9.5,Sunny
12,73,13.5,17,1005.01,3,5.5,Cloudy
20,70,10,31,1001.78,1,7,Cloudy
33,57,14,12,1014.75,2,6,Cloudy
28,87,7.5,77,999.7,2,4,Rainy
-20,64,11.5,78,1007.36,14,16.5,Snowy
16,55,2.5,40,1003.02,3,7,Cloudy
0,71,19.5,53,980.18,0,4,Snowy
28,44,1,9,1015.33,9,6.5,Sunny
-2,82,19,93,990.9,1,2,Snowy
12,89,19,98,991.74,0,4.5,Rainy
-5,73,14.5,52,999.76,0,1.5,Snowy
25,81,8.5,53,1012.74,3,1,Rainy
21,54,0,16,1018.63,3,5.5,Cloudy
28,65,6.5,44,1015.54,2,5.5,Cloudy
11,60,9,47,1017.79,1,8.5,Cloudy
12,76,16,80,1001.06,2,1.5,Rainy
-5,94,14.5,57,999.98,0,3.5,Snowy
-4,66,11.5,70,995.27,0,4,Snowy
25,78,9.5,91,990.37,0,3.5,Rainy
21,66,0.5,74,927.33,13,19,Sunny
16,73,15,25,1001.1,3,8,Cloudy
25,24,7.5,6,1021.55,10,6.5,Sunny
-3,81,16,88,995.02,1,3,Snowy
17,63,4.5,35,1014.36,3,7.5,Cloudy
-10,72,1,94,995.23,0,2,Snowy
21,67,6,40,1014.39,3,6.5,Cloudy
34,74,0,87,1156.05,4,14.5,Rainy
33,96,12,104,999.8,13,1.5,Rainy
35,62,9,11,1027.05,10,8,Sunny
-6,85,4.5,92,993.68,1,3.5,Snowy
33,67,2.5,13,1024.45,10,5.5,Sunny
25,62,12,46,1001.77,4,7,Cloudy
-4,103,5,91,986.06,12,0.5,Snowy
32,66,14,90,990.8,1,1.5,Rainy
17,98,18,90,1007.51,7,5.5,Cloudy
38,32,2,18,1014.43,11,5.5,Sunny
-1,63,10,90,990.95,1,4.5,Snowy
31,78,8,37,1006.95,3,9,Cloudy
15,62,14.5,81,1006.97,3,4,Rainy
